Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Blue Oak,2022,G1,2,7,213,NA,BO_069,BO_043,7,0,0,0,NA,0,0,NA,21.629,NA,NA,4/1/22,4/8/22,7
Blue Oak,2022,G1,2,7,214,NA,BO_040,BO_067,2,0,0,0,NA,0,0,13.25,NA,NA,18.594,4/1/22,4/8/22,7
Blue Oak,2022,G1,2,7,215,NA,BO_153,BO_177,6,0,0,0,NA,0,0,NA,NA,NA,30.637,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,7,216,NA,BO_128,BO_105,6,0,0,0,NA,0,0,20.18,20.612,217.855,25.922,4/1/22,4/13/22,12
Blue Oak,2022,G1,2,7,217,NA,BO_101,BO_024,4,2,2,0,NA,0,0,NA,24.395,274.93,24.834,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,7,218,NA,BO_039,BO_087,3,0,0,0,NA,0,0,10.95,NA,NA,40.97,4/1/22,4/1/22,0
Blue Oak,2022,G1,2,7,219,NA,BO_194,BO_125,7,5,6,13,3.786923077,2.6,15.6,28.13,NA,NA,23.846,3/17/22,4/13/22,27
Blue Oak,2022,G1,2,7,220,NA,BO_119,BO_013,3,1,1,0,NA,0,0,NA,22.562,303.627,20.185,3/17/22,4/8/22,22
Blue Oak,2022,G1,2,7,221,NA,BO_187,BO_150,3,2,2,1,4.8,0.5,1,11.48,NA,NA,24.112,3/25/22,4/8/22,14
Blue Oak,2022,G1,2,7,222,NA,BO_058,BO_094,1,0,0,0,NA,0,0,79.65,24.06,331.286,19.881,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,7,223,NA,BO_149,BO_185,2,0,0,0,NA,0,0,NA,23.781,353.532,NA,3/25/22,3/25/22,0
Blue Oak,2022,G1,2,7,224,NA,BO_033,BO_124,7,1,5,0,NA,0,0,26.27,25.822,388.514,55.489,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,7,225,NA,BO_192,BO_166,1,0,6,0,NA,0,0,56.59,27.503,470.827,21.487,3/25/22,4/28/22,34
Blue Oak,2022,G1,2,7,226,NA,BO_163,BO_072,7,1,1,2,5.815,2,2,7.04,NA,NA,38.493,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,7,227,NA,BO_199,BO_069,5,0,0,0,NA,0,0,19.91,NA,NA,NA,4/1/22,4/13/22,12
Blue Oak,2022,G1,2,7,228,NA,BO_198,BO_159,1,0,0,0,NA,0,0,17.92,NA,NA,35.242,4/8/22,5/25/22,47
Blue Oak,2022,G1,2,7,228,NA,BO_198,BO_159,1,0,0,0,NA,0,0,17.92,NA,NA,35.242,4/8/22,5/25/22,47
Blue Oak,2022,G1,2,7,229,NA,BO_033,BO_099,7,3,3,1,2.13,0.333333333,1,28.77,26.097,410.848,46.87,3/25/22,4/21/22,27
