Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BO_166-G1-006-9L-1,6,9L,BO_166,1,G1,177,BO_192,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,6.33,2,0,8,2,4,8,3.010333333,NA,NA,93.084,5.83,15.966380789022299,-29.01,563.03,2.09
BO_166-G2-009-27L-5,9,27L,BO_166,5,G2,276,BO_192,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,2023-04-21,NA,0,2,0,2,0,0,NA,25.043,2023-04-21,63.398,3.69,17.181029810298103,-28.63,1401.52,3.99
BO_169-G1-005-16L-3,5,16L,BO_169,3,G1,140,BO_088,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,2023-06-01,NA,0,0,0,0,0,0,NA,15.223,2023-06-02,NA,NA,NA,NA,NA,NA
BO_169-G1-009-27R-2,9,27R,BO_169,2,G1,276,BO_088,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,25.59,3,1,6,4,2,8,5.628333333,23.019,2023-05-05,52.569,3.45,15.237391304347826,-28.85,1220.1,3.87
BO_169-G2-002-31R-1,2,31R,BO_169,1,G2,71,BO_088,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,2023-05-17,12.2,0,0,0,0,0,0,NA,19.422,2023-05-17,NA,NA,NA,-28.74,911.41,2.63
BO_169-G2-008-5R-1,8,5R,BO_169,1,G2,229,BO_088,TRUE,2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_169-G2-008-7L-3,8,7L,BO_169,3,G2,231,BO_088,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_171-G1-0010-26R-1,10,26R,BO_171,1,G1,305,BO_040,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,13.85,3,0,5,3,1.666666667,5,3.552,NA,NA,33.046,2.09,15.811483253588518,NA,NA,NA
BO_174-G1-002-16R-4,2,16R,BO_174,4,G1,56,BO_130,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,NA,1,1,3,2,3,6,1.91,NA,NA,NA,NA,NA,-31.81,710.54,2.12
BO_174-G1-003-4R-2,3,4R,BO_174,2,G1,75,BO_130,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,10.4,0,2,0,2,0,0,NA,NA,NA,NA,NA,NA,-31.43,820.39,2.34
BO_175-G1-002-1L-1,2,1L,BO_175,1,G1,41,BO_168,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,2023-05-17,53.9,2,1,2,3,1,3,7.855,31.331,2023-05-17,NA,NA,NA,-27.89,1222.12,4.01
BO_176-G1-0010-28L-1,10,28L,BO_176,1,G1,307,BO_005,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,NA,26.18,3,1,7,4,2.333333333,9.333333333,3.055714286,NA,NA,41.943,1.7,24.67235294117647,NA,NA,NA
BO_176-G1-009-17R-3,9,17R,BO_176,3,G1,266,BO_005,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,3.04,0,0,0,0,0,0,NA,NA,NA,73.202,5.11,14.325244618395303,-27.45,375.22,1.57
BO_176-G1-009-6R-5,9,6R,BO_176,5,G1,255,BO_005,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-05,23.26,1,0,3,1,3,3,1.243333333,18.79,2023-05-05,29.601,2.3,12.870000000000001,-28.45,1123.91,2.91
BO_176-G2-007-1R-4,7,1R,BO_176,4,G2,199,BO_005,TRUE,2022-10-31,2022-11-03,2023-06-02,214,211,2023-06-02,0,2023-06-02,33.58,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-30.08,1357.08,4.23
